All,SourceCountry,SourceCity,SourceAirport,DestCountry,DestCity,DestAirport,AirlineName,Sum of Flights
All Countries,China,Others,Others,China,Others,Liuting Airport,Lufthansa,1
All Countries,China,Others,Others,China,Others,Ürümqi Diwopu International Airport,China Southern Airlines,27
All Countries,China,Others,Others,China,Others,Ürümqi Diwopu International Airport,Air China,9
All Countries,China,Others,Others,China,Others,Ürümqi Diwopu International Airport,China Eastern Airlines,7
All Countries,China,Others,Others,China,Others,Ürümqi Diwopu International Airport,Hainan Airlines,7
All Countries,China,Others,Others,China,Others,Ürümqi Diwopu International Airport,Shenzhen Airlines,5
All Countries,China,Others,Others,China,Others,Ürümqi Diwopu International Airport,KLM Royal Dutch Airlines,2
All Countries,China,Others,Others,China,Others,Zhoushuizi Airport,China Southern Airlines,17
All Countries,China,Others,Others,China,Others,Zhoushuizi Airport,Air China,9
All Countries,China,Others,Others,China,Others,Zhoushuizi Airport,Hainan Airlines,8
All Countries,China,Others,Others,China,Others,Zhoushuizi Airport,China Eastern Airlines,8
All Countries,China,Others,Others,China,Others,Zhoushuizi Airport,Shenzhen Airlines,7
All Countries,China,Others,Others,China,Others,Zhoushuizi Airport,All Nippon Airways,1
All Countries,China,Others,Others,China,Others,Taiping Airport,China Southern Airlines,19
All Countries,China,Others,Others,China,Others,Taiping Airport,Air China,8
All Countries,China,Others,Others,China,Others,Taiping Airport,China Eastern Airlines,7
All Countries,China,Others,Others,China,Others,Taiping Airport,Shenzhen Airlines,7
All Countries,China,Others,Others,China,Others,Taiping Airport,Hainan Airlines,7
All Countries,China,Others,Others,China,Others,Taiping Airport,KLM Royal Dutch Airlines,1
All Countries,China,Others,Others,China,Others,Taoxian Airport,China Southern Airlines,19
All Countries,China,Others,Others,China,Others,Taoxian Airport,Air China,11
All Countries,China,Others,Others,China,Others,Taoxian Airport,Shenzhen Airlines,9
All Countries,China,Others,Others,China,Others,Taoxian Airport,Hainan Airlines,5
All Countries,China,Others,Others,China,Others,Taoxian Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Taoxian Airport,Air France,1
All Countries,China,Others,Others,China,Others,Taoxian Airport,Lufthansa,1
All Countries,China,Others,Others,China,Others,Taiyuan Wusu Airport,China Southern Airlines,15
All Countries,China,Others,Others,China,Others,Taiyuan Wusu Airport,Air China,11
